Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,6.016670,6.163330,6.016670,6.040000,3.890135,2646900
2015-04-28,6.040000,6.126670,5.946670,6.000000,4.013292,4802700
2015-04-29,6.000000,6.050000,5.870000,5.960000,3.986537,1311600
2015-04-30,6.010000,6.030000,5.820000,6.000000,4.013292,1451400
2015-05-04,5.966670,6.216670,5.966670,6.146670,4.111398,1961100
2015-05-05,6.196670,6.260000,5.940000,5.976670,3.997687,1454100
2015-05-06,6.003330,6.100000,5.843330,6.100000,4.080180,1197600
2015-05-07,6.150000,6.150000,5.900000,5.990000,4.006603,920400
2015-05-08,5.990000,6.113330,5.953330,6.066670,4.057886,965700
2015-05-11,6.066670,6.093330,5.940000,6.046670,4.044508,1101900
2015-05-12,6.033330,6.033330,5.936670,5.983330,4.002141,807300
2015-05-13,5.976670,6.000000,5.766670,5.873330,3.928566,1095300
2015-05-14,5.900000,5.973330,5.886670,5.910000,3.953093,1353600
2015-05-15,5.960000,6.006670,5.926670,5.996670,4.011065,1043400
2015-05-18,5.966670,6.083330,5.843330,5.936670,3.970932,440100
2015-05-19,5.923330,6.030000,5.876670,5.950000,3.979849,853500
2015-05-20,5.953330,6.000000,5.876670,5.890000,3.939715,1180200
2015-05-21,5.896670,5.943330,5.833330,5.850000,3.912961,991500
2015-05-22,5.900000,5.946670,5.850000,5.893330,3.941943,626700
2015-05-25,5.893330,5.946670,5.833330,5.893330,3.941943,466500
2015-05-26,5.863330,5.876670,5.720000,5.833330,3.901810,945600
2015-05-27,5.833330,5.840000,5.783330,5.833330,3.901810,908700
2015-05-28,5.793330,5.880000,5.776670,5.800000,3.879516,621300
2015-05-29,5.853330,5.853330,5.750000,5.790000,3.872827,670800
2015-06-01,5.843330,5.933330,5.773330,5.900000,3.946404,1882800
2015-06-02,5.883330,5.990000,5.773330,5.833330,3.901810,1167900
2015-06-03,5.833330,5.863330,5.800000,5.813330,3.888433,267300
2015-06-05,5.783330,5.880000,5.783330,5.833330,3.901810,314100
2015-06-08,5.833330,5.850000,5.750000,5.806670,3.883977,585000
2015-06-09,5.796670,5.803330,5.746670,5.773330,3.861677,382200
2015-06-10,5.733330,5.803330,5.666670,5.720000,3.826005,1080600
2015-06-11,5.700000,5.813330,5.670000,5.733330,3.834922,373800
2015-06-12,5.713330,5.790000,5.690000,5.750000,3.846072,506400
2015-06-15,5.740000,5.740000,5.600000,5.633330,3.768033,698700
2015-06-16,5.620000,5.690000,5.613330,5.633330,3.768033,393900
2015-06-17,5.663330,5.666670,5.633330,5.640000,3.772495,709200
2015-06-18,5.646670,5.840000,5.646670,5.743330,3.841611,573300
2015-06-19,5.746670,5.756670,5.650000,5.700000,3.812628,627000
2015-06-22,5.650000,5.726670,5.650000,5.666670,3.790333,436200
2015-06-23,5.690000,5.720000,5.633330,5.666670,3.790333,720600
2015-06-24,5.653330,5.726670,5.603330,5.603330,3.747967,3105600
2015-06-25,5.646670,5.646670,5.423330,5.500000,3.678851,676500
2015-06-26,5.500000,5.633330,5.470000,5.633330,3.768033,773100
2015-06-29,5.560000,5.663330,5.493330,5.560000,3.718984,980400
2015-06-30,5.530000,5.826670,5.530000,5.576670,3.730134,1913400
2015-07-01,5.640000,5.756670,5.600000,5.683330,3.801478,863400
2015-07-02,5.743330,5.783330,5.686670,5.716670,3.823777,592200
2015-07-03,5.716670,5.720000,5.656670,5.673330,3.794789,290400
2015-07-06,5.666670,5.776670,5.663330,5.706670,3.817089,473400
2015-07-07,5.733330,5.773330,5.583330,5.636670,3.770268,411000
2015-07-08,5.613330,5.786670,5.603330,5.733330,3.834922,600000
2015-07-10,5.736670,5.780000,5.653330,5.720000,3.826005,510300
2015-07-13,5.730000,5.860000,5.706670,5.843330,3.908498,507300
2015-07-14,5.846670,5.920000,5.773330,5.810000,3.886205,396300
2015-07-15,5.820000,5.910000,5.810000,5.830000,3.899582,909300
2015-07-16,5.870000,5.913330,5.830000,5.830000,3.899582,660900
2015-07-17,5.896670,5.896670,5.786670,5.830000,3.899582,609000
2015-07-20,5.823330,5.853330,5.673330,5.733330,3.834922,678000
2015-07-21,5.733330,5.846670,5.696670,5.796670,3.877289,551400
2015-07-22,5.736670,5.836670,5.500000,5.523330,3.694456,1347000
2015-07-23,5.533330,5.596670,5.286670,5.400000,3.611964,942300
2015-07-24,5.470000,5.630000,5.470000,5.490000,3.672162,991200
2015-07-27,5.550000,5.866670,5.480000,5.610000,3.752429,1122900
2015-07-28,5.730000,5.773330,5.646670,5.720000,3.826005,802800
2015-07-29,5.746670,5.966670,5.723330,5.933330,3.968698,844800
2015-07-30,5.936670,5.990000,5.863330,5.923330,4.061946,573000
2015-07-31,5.933330,6.013330,5.910000,5.956670,4.084810,577500
2015-08-03,5.936670,6.040000,5.936670,5.966670,4.091666,528600
2015-08-04,5.973330,6.016670,5.863330,5.906670,4.050521,556500
2015-08-05,5.926670,6.033330,5.883330,5.986670,4.105382,767700
2015-08-06,6.000000,6.030000,5.816670,5.906670,4.050521,908700
2015-08-07,5.843330,5.926670,5.836670,5.906670,4.050521,589500
2015-08-10,5.906670,5.906670,5.616670,5.683330,3.897365,818100
2015-08-11,5.666670,5.763330,5.636670,5.693330,3.904223,508800
2015-08-12,5.680000,5.723330,5.630000,5.666670,3.885940,532800
2015-08-13,5.716670,5.716670,5.583330,5.630000,3.860794,291900
2015-08-14,5.630000,5.670000,5.513330,5.643330,3.869935,381600
2015-08-17,5.680000,5.743330,5.526670,5.566670,3.817364,466500
2015-08-18,5.583330,5.750000,5.546670,5.656670,3.879082,664200
2015-08-19,5.700000,5.723330,5.563330,5.626670,3.858510,3161700
2015-08-20,5.633330,5.640000,5.426670,5.486670,3.762505,651600
2015-08-21,5.516670,5.516670,5.243330,5.323330,3.650493,564600
2015-08-24,4.976670,5.473330,4.976670,5.466670,3.748789,945600
2015-08-25,5.513330,5.566670,5.310000,5.310000,3.641353,619800
2015-08-26,5.336670,5.693330,5.336670,5.503330,3.773930,1235400
2015-08-27,5.570000,5.826670,5.533330,5.686670,3.899656,1104000
